cytoband	4q12	12q14.1	12p13.32	8q24.13	11q23.3	10p15.3	13q33.3	2p24.3	12p13.31	19p13.3	8q23.3	8q24.3	15q26.3	12p12.1	8q23.1	9q34.3	12q24.31	7q32.3	17q25.3	
																		PRRT4		
																		RAB19		
																		OR2A7		
																		OR2A20P		
																		ATP6V0E2-AS1		
																		LINC01000		
																		KPNA7		
																		C7orf61		
																		UFSP1		
																		MIR106B		
																		MIR129-1		
																		MIR153-2		
																		MIR182		
																		MIR183		
																		MIR25		
																		MIR29A		
																		MIR29B1		
																		MIR93		
																		MIR96		
																		LOC407835		
																		TYW1B		
																		SPDYE7P		
																		DTX2P1-UPK3BP1-PMS2P11		
																		SPDYE3		
																		SPDYE2		
																		AKR1B15		
																		CTAGE15		
																		OR2A9P		
																		OR2A2		
																		DPY19L2P4		
																		STAG3L3		
																		STAG3L2		
																		SPDYE5		
																		EIF3IP1		
																		LMOD2		
																		MIR335		
																		ARHGEF35		
																		GIMAP6		
																		WEE2		
																		LOC541473		
																		POLR2J3		
																		MIR489		
																		MIR490		
																		CYP51A1-AS1		
																		FDPSP2		
																		ZNF862		
																		MNX1-AS1		
																		LHFPL3-AS1		
																		AZGP1P1		
																		C7orf73		
																		NCF1		
																		TCAF2P1		
																		ACTR3C		
																		NCF1B		
																		NCF1C		
																		SNORA14A		
																		MIR590		
																		MIR591		
																		MIR592		
																		MIR593		
																		MIR595		
																		LHFPL3-AS2		
																		MIR653		
																		ARHGEF34P		
																		SPDYE8P		
																		LOC728743		
																		GATSL2		
																		SPDYE6		
																		TMEM229A		
																		LUZP6		
																		MIR671		
																		GTF2IP4		
																		LOC100101148		
																		POM121C		
																		PMS2P7		
																		HTR5A-AS1		
																		LOC100128317		
																		CTAGE4		
																		LINC01003		
																		LOC100129148		
																		RPL19P12		
																		PCOLCE-AS1		
																		LOC100130705		
																		EFCAB10		
																		LOC100130880		
																		WDR86-AS1		
																		PAXIP1-AS2		
																		PMS2P9		
																		LOC100133091		
																		JHDM1D-AS1		
																		NDUFB2-AS1		
																		UPK3BL		
																		CTAGE8		
																		KMT2E-AS1		
																		LINC01004		
																		RASA4B		
																		SMKR1		
																		MOXD2P		
																		GS1-259H13.2		
																		LOC100289561		
																		ZNF783		
																		MIR1285-1		
																		MIR548O		
																		MIR548F4		
																		SAP25		
																		MIR4285		
																		MIR4284		
																		MTRNR2L6		
																		MIR3654		
																		MIR3609		
																		MIR3907		
																		MIR3666		
																		PRKAG2-AS1		
																		APTR		
																		MAGI2-AS3		
																		LOC100506136		
																		LOC100506302		
																		LINC01006		
																		DOCK4-AS1		
																		LINC01007		
																		LOC100506585		
																		LOC100506682		
																		LOC100506860		
																		MKLN1-AS		
																		LOC100506937		
																		TMEM178B		
																		LOC100507507		
																		ATP5J2-PTCD1		
																		GIMAP1-GIMAP5		
																		MIR4653		
																		MIR4652		
																		MIR4468		
																		MIR4651		
																		MIR4650-1		
																		MIR4467		
																		MIR4658		
																		LOC100630923		
																		MIR5692C2		
																		MIR5707		
																		MIR5692A2		
																		MIR5692A1		
																		MIR5090		
																		CYP3A7-CYP3A51P		
																		MAGI2-AS2		
																		STEAP2-AS1		
																		LOC100996249		
																		LINC01510		
																		C7orf55-LUC7L2		
																		LOC101409256		
																		STAG3L5P		
																		PVRIG2P		
																		STAG3L5P-PVRIG2P-PILRB		
																		LOC101926943		
																		GTF2IP7		
																		LOC101927243		
																		LOC101927269		
																		LOC101927356		
																		LOC101927378		
																		LOC101927420		
																		LOC101927446		
																		LOC101927497		
																		LOC101927550		
																		ZASP		
																		LOC101927746		
																		LOC101927870		
																		LOC101927914		
																		LOC101928012		
																		HRAT17		
																		LOC101928211		
																		LOC101928254		
																		LOC101928283		
																		LOC101928333		
																		OR2A1-AS1		
																		LOC101928605		
																		LOC101928700		
																		LOC101928782		
																		LOC101928807		
																		LOC101928861		
																		LOC101929998		
																		RNU6-7		
																		RNU6-8		
																		MIR6133		
																		MIR6509		
																		MIR6892		
																		MIR6132		
																		MIR6840		
																		MIR6875		
																		GHET1		
																		LOC102723885		
																		LOC102724094		
																		LINC01393		
																		LOC102724434		
																		LOC102724555		
																		RNU6-2		
																		LINC01287		
																		LINC01392		
																		LOC105369146		
																		LINC00972		
																		LOC105375396		
																		LOC105375401		
																		LOC105375429		
																		LVCAT5		
																		LOC105375483		
																		LOC105375504		
																		LOC105375512		
																		LOC105375545		
																		LOC105375556		
																		LINC01022		
																		SCARNA28		
